id,estado,municipio,poblacion,indice_marginacion
46,Nuevo Leon,Municipio_0000046,504393,1.1225
47,Oaxaca,Municipio_0000047,1447441,-1.1925
48,San Luis Potosi,Municipio_0000048,958709,1.9411
49,Guerrero,Municipio_0000049,1402197,-1.3452
50,Tamaulipas,Municipio_0000050,49800,-0.1352
51,Puebla,Municipio_0000051,462850,-1.0327
52,San Luis Potosi,Municipio_0000052,1240483,0.0197
53,Guerrero,Municipio_0000053,1738707,2.0075
54,Aguascalientes,Municipio_0000054,563213,0.5643
55,Aguascalientes,Municipio_0000055,1609149,-1.1355
56,Puebla,Municipio_0000056,1858115,0.2741
57,Tamaulipas,Municipio_0000057,190464,-2.2712
58,Chihuahua,Municipio_0000058,1032969,1.6319
59,Morelos,Municipio_0000059,936775,0.6861
60,Michoacan,Municipio_0000060,279979,-0.4148
61,Nayarit,Municipio_0000061,289061,-2.384
62,Mexico,Municipio_0000062,39701,-0.0868
63,Quintana Roo,Municipio_0000063,971997,0.4671
64,Tamaulipas,Municipio_0000064,822772,-0.2316
65,Yucatan,Municipio_0000065,1067038,-0.2193
66,Coahuila,Municipio_0000066,1909323,2.1861
67,Veracruz,Municipio_0000067,532075,-0.8013
68,Jalisco,Municipio_0000068,485299,-1.3822
69,Tamaulipas,Municipio_0000069,233978,0.8935
70,Yucatan,Municipio_0000070,1213520,-2.1815
71,Sinaloa,Municipio_0000071,654305,0.6399
72,Baja California,Municipio_0000072,1842376,-1.2149
73,Guanajuato,Municipio_0000073,130202,-1.1232
74,Baja California,Municipio_0000074,524830,2.4816
75,Oaxaca,Municipio_0000075,927658,-1.6803
76,San Luis Potosi,Municipio_0000076,648979,0.2236
77,Durango,Municipio_0000077,1597203,0.1933
78,Jalisco,Municipio_0000078,692361,2.2651
79,Guerrero,Municipio_0000079,1935654,-1.7288
80,Nayarit,Municipio_0000080,571623,-2.4462
81,Veracruz,Municipio_0000081,698434,0.0694
82,Michoacan,Municipio_0000082,1366510,1.3656
83,Tlaxcala,Municipio_0000083,1406926,0.863
84,Tlaxcala,Municipio_0000084,636814,1.4355
85,Sinaloa,Municipio_0000085,584582,1.238
86,Nayarit,Municipio_0000086,1593930,-1.6983
87,Michoacan,Municipio_0000087,8134,0.6038
88,Jalisco,Municipio_0000088,142316,0.7481
89,Aguascalientes,Municipio_0000089,1326671,1.6314
90,Yucatan,Municipio_0000090,1082645,-1.755
91,Baja California,Municipio_0000091,517447,-1.9408
92,Jalisco,Municipio_0000092,47330,1.366
93,Quintana Roo,Municipio_0000093,820943,2.3476
94,Jalisco,Municipio_0000094,1379016,1.2697
95,Tlaxcala,Municipio_0000095,1978316,-0.1818
96,Tlaxcala,Municipio_0000096,1415809,1.1917
97,Coahuila,Municipio_0000097,1833164,-0.3793
98,Tamaulipas,Municipio_0000098,298959,1.9146
99,Mexico,Municipio_0000099,109012,-1.8242
100,Zacatecas,Municipio_0000100,719027,2.3558
101,Oaxaca,Municipio_0000101,1211996,-1.2384
102,Guanajuato,Municipio_0000102,1199364,0.3164
103,Hidalgo,Municipio_0000103,1755663,0.2793
104,Guanajuato,Municipio_0000104,966399,1.2873
105,Puebla,Municipio_0000105,437937,-1.1029
106,Yucatan,Municipio_0000106,444652,-0.705
107,Aguascalientes,Municipio_0000107,338160,-0.5289
108,Tamaulipas,Municipio_0000108,1010928,-1.2795
109,Queretaro,Municipio_0000109,1323952,-0.9338
110,Chihuahua,Municipio_0000110,1700986,-0.4056
111,Baja California,Municipio_0000111,1384457,1.0051
112,Quintana Roo,Municipio_0000112,854880,0.1136
113,Quintana Roo,Municipio_0000113,650603,-0.6261
114,Sinaloa,Municipio_0000114,1382318,2.3652
115,Chiapas,Municipio_0000115,1591531,1.4899
116,Quintana Roo,Municipio_0000116,1919140,-1.4642
117,Yucatan,Municipio_0000117,1754235,0.7573
118,Sonora,Municipio_0000118,1505800,0.5539
119,Guanajuato,Municipio_0000119,885062,-0.7927
120,Tabasco,Municipio_0000120,1434105,0.7519
121,Zacatecas,Municipio_0000121,764697,-0.363
122,Campeche,Municipio_0000122,377474,2.452
123,Campeche,Municipio_0000123,556801,2.3408
124,Baja California,Municipio_0000124,1993619,-0.1146
125,Nuevo Leon,Municipio_0000125,1459895,1.283
126,Yucatan,Municipio_0000126,1373183,0.6927
127,Jalisco,Municipio_0000127,1331287,0.3844
128,Puebla,Municipio_0000128,1775659,2.131
129,Durango,Municipio_0000129,1618751,-1.35
130,Tlaxcala,Municipio_0000130,572633,-1.334
131,Queretaro,Municipio_0000131,178149,-1.3922
132,Baja California,Municipio_0000132,1095579,2.0661
133,Yucatan,Municipio_0000133,853029,2.4909
134,Zacatecas,Municipio_0000134,1700622,-0.9562
135,Tamaulipas,Municipio_0000135,191103,-0.9666
136,Chihuahua,Municipio_0000136,1541293,1.2437
137,Zacatecas,Municipio_0000137,1349398,2.1233
138,Jalisco,Municipio_0000138,124159,-0.6057
139,Mexico,Municipio_0000139,232438,0.3564
140,Tabasco,Municipio_0000140,1125743,0.1615
141,Michoacan,Municipio_0000141,213466,1.6142
142,San Luis Potosi,Municipio_0000142,1586811,-0.5009
143,Veracruz,Municipio_0000143,1159890,0.8279
144,Sonora,Municipio_0000144,318275,0.8366
145,Nuevo Leon,Municipio_0000145,666009,2.0382
146,Nuevo Leon,Municipio_0000146,1087796,-1.5079
147,Aguascalientes,Municipio_0000147,399879,0.7812
148,Zacatecas,Municipio_0000148,27981,-2.3355
149,Nuevo Leon,Municipio_0000149,995241,2.1042
150,Chiapas,Municipio_0000150,1269021,0.4066
151,Nuevo Leon,Municipio_0000151,1524096,1.8576
152,Guerrero,Municipio_0000152,1375922,0.583
153,Coahuila,Municipio_0000153,1186806,0.3066
154,Coahuila,Municipio_0000154,245642,-0.5681
155,Hidalgo,Municipio_0000155,1371998,0.9582
156,Puebla,Municipio_0000156,1901753,-2.1359
157,Queretaro,Municipio_0000157,1462896,-1.3975
158,Mexico,Municipio_0000158,1413257,0.2539
159,Tabasco,Municipio_0000159,701290,0.3465
160,Colima,Municipio_0000160,326427,1.806
161,Baja California,Municipio_0000161,356082,-1.5158
162,Oaxaca,Municipio_0000162,214728,-0.2742
163,Oaxaca,Municipio_0000163,857140,2.4042
164,Quintana Roo,Municipio_0000164,976472,1.8924
165,Baja California,Municipio_0000165,1551791,2.3198
166,Mexico,Municipio_0000166,1684092,1.2206
167,Puebla,Municipio_0000167,1257057,-0.5268
168,Colima,Municipio_0000168,721513,-2.207
169,Nuevo Leon,Municipio_0000169,284013,0.915
170,Sinaloa,Municipio_0000170,1818446,0.1373
171,Michoacan,Municipio_0000171,1041832,-1.6254
172,Campeche,Municipio_0000172,234200,-0.1225
173,Jalisco,Municipio_0000173,1990672,0.9894
174,Chiapas,Municipio_0000174,1015914,-2.0802
175,Queretaro,Municipio_0000175,812406,2.0964
176,Hidalgo,Municipio_0000176,1512149,-1.4182
177,Chihuahua,Municipio_0000177,325130,-1.7869
178,Oaxaca,Municipio_0000178,632372,0.2625
179,Colima,Municipio_0000179,1995288,0.9061
180,Puebla,Municipio_0000180,1793852,-0.1883
181,Oaxaca,Municipio_0000181,479738,-2.3522
182,Nuevo Leon,Municipio_0000182,541577,2.004
183,Tlaxcala,Municipio_0000183,371892,-2.0752
184,Tlaxcala,Municipio_0000184,1575799,0.8628
185,Chihuahua,Municipio_0000185,360418,1.8256
186,Coahuila,Municipio_0000186,225112,-0.4354
187,Zacatecas,Municipio_0000187,1035298,-0.2621
188,Aguascalientes,Municipio_0000188,1866680,0.1627
189,Quintana Roo,Municipio_0000189,922810,-0.8576
190,Sonora,Municipio_0000190,466976,-0.9556
191,Jalisco,Municipio_0000191,1618758,-0.8726
192,Veracruz,Municipio_0000192,1608677,2.3771
193,Aguascalientes,Municipio_0000193,942454,0.6979
194,Hidalgo,Municipio_0000194,511712,0.2833
195,Tamaulipas,Municipio_0000195,1732544,-1.2932
196,Coahuila,Municipio_0000196,523976,-1.3475
197,Nuevo Leon,Municipio_0000197,657947,-1.1662
198,Colima,Municipio_0000198,157083,1.5417
199,Aguascalientes,Municipio_0000199,1234193,2.3413
200,Nuevo Leon,Municipio_0000200,3292,-2.2526
201,Hidalgo,Municipio_0000201,1226152,0.4417
202,Colima,Municipio_0000202,753173,-1.9338
203,Tlaxcala,Municipio_0000203,1518301,1.0663
204,Sonora,Municipio_0000204,98819,0.8106
205,Puebla,Municipio_0000205,1271781,2.1307
206,Tabasco,Municipio_0000206,231154,-1.6275
207,Jalisco,Municipio_0000207,765773,1.0732
208,Aguascalientes,Municipio_0000208,1307503,1.5223
209,Tlaxcala,Municipio_0000209,359781,1.9657
210,Oaxaca,Municipio_0000210,1060805,0.4314
211,Sonora,Municipio_0000211,1755388,0.5706
212,Coahuila,Municipio_0000212,1957950,0.1623
213,Queretaro,Municipio_0000213,419724,1.0019
214,Guerrero,Municipio_0000214,1730323,-2.03
215,Veracruz,Municipio_0000215,1403536,-1.4053
216,Oaxaca,Municipio_0000216,560043,0.8909
217,Michoacan,Municipio_0000217,850684,-0.9253
218,Guanajuato,Municipio_0000218,85514,-2.0442
219,Jalisco,Municipio_0000219,706266,-0.572
220,Tabasco,Municipio_0000220,1555445,-0.5345
221,Veracruz,Municipio_0000221,808542,0.0731
222,Yucatan,Municipio_0000222,31063,-1.3015
223,Tabasco,Municipio_0000223,1045767,1.4754
224,Baja California,Municipio_0000224,305024,1.8716
225,Hidalgo,Municipio_0000225,1430522,-1.7309
226,Veracruz,Municipio_0000226,1799374,-0.4869
227,Puebla,Municipio_0000227,1274170,-0.8784
228,Mexico,Municipio_0000228,1981450,-0.7433
229,Chiapas,Municipio_0000229,1176028,-2.2557
230,Sinaloa,Municipio_0000230,307914,1.3432
231,Tamaulipas,Municipio_0000231,1408905,1.4132
232,Morelos,Municipio_0000232,1955711,1.2997
233,San Luis Potosi,Municipio_0000233,1472923,-0.8072
234,Puebla,Municipio_0000234,1190448,0.4929
235,Morelos,Municipio_0000235,1462824,-0.8369
236,Nuevo Leon,Municipio_0000236,707017,-0.797
237,Morelos,Municipio_0000237,141834,0.0157
238,Chihuahua,Municipio_0000238,573171,-0.5865
239,Sinaloa,Municipio_0000239,1484549,-1.6076
240,Tlaxcala,Municipio_0000240,648088,-2.0172
241,Zacatecas,Municipio_0000241,999360,0.1394
242,Chihuahua,Municipio_0000242,389992,-0.3685
243,Baja California,Municipio_0000243,950167,-2.2828
244,Mexico,Municipio_0000244,585926,-2.0155
245,Morelos,Municipio_0000245,1701008,2.2479
246,Zacatecas,Municipio_0000246,2236,-2.3196
247,Queretaro,Municipio_0000247,765304,-2.1148
248,Hidalgo,Municipio_0000248,289940,1.1581
249,Colima,Municipio_0000249,48271,1.2069
250,Yucatan,Municipio_0000250,1797377,-0.7536
251,Mexico,Municipio_0000251,629298,1.3105
252,Sinaloa,Municipio_0000252,687700,-0.2119
253,San Luis Potosi,Municipio_0000253,1154627,1.6813
254,Campeche,Municipio_0000254,1564126,-1.7401
255,Tamaulipas,Municipio_0000255,1149899,-0.5271
256,Quintana Roo,Municipio_0000256,1797586,-1.595
257,Aguascalientes,Municipio_0000257,2965,-1.727
258,Nuevo Leon,Municipio_0000258,1676937,0.6492
259,Jalisco,Municipio_0000259,1653573,2.1255
260,Yucatan,Municipio_0000260,392438,-2.0446
261,Zacatecas,Municipio_0000261,459710,2.3488
262,Guerrero,Municipio_0000262,1424933,-1.548
263,San Luis Potosi,Municipio_0000263,1187661,-1.3945
264,Colima,Municipio_0000264,33618,0.216
265,Tabasco,Municipio_0000265,1539868,-2.3444
266,Quintana Roo,Municipio_0000266,1651076,2.173
267,Baja California,Municipio_0000267,910620,-0.7649
268,Michoacan,Municipio_0000268,530184,1.5199
269,Tamaulipas,Municipio_0000269,1110370,-2.2966
270,Oaxaca,Municipio_0000270,1878562,-1.2444
271,San Luis Potosi,Municipio_0000271,940729,0.2663
272,Nayarit,Municipio_0000272,991775,1.6903
273,Quintana Roo,Municipio_0000273,1682260,-0.7075
274,Colima,Municipio_0000274,469778,2.4935
275,Michoacan,Municipio_0000275,1581561,0.3188
276,Sinaloa,Municipio_0000276,682570,0.0138
277,Morelos,Municipio_0000277,1447007,-0.0132
278,Queretaro,Municipio_0000278,249439,2.2195
279,Zacatecas,Municipio_0000279,1244783,1.226
280,Durango,Municipio_0000280,524579,1.6299
281,Michoacan,Municipio_0000281,1681462,2.063
282,Sinaloa,Municipio_0000282,417573,0.4393
283,Nayarit,Municipio_0000283,589624,-0.9806
284,Quintana Roo,Municipio_0000284,1424920,1.5795
285,Nuevo Leon,Municipio_0000285,1556156,2.2173
286,Sinaloa,Municipio_0000286,1456982,-0.4007
287,Michoacan,Municipio_0000287,620699,0.441
288,San Luis Potosi,Municipio_0000288,1107613,1.8188
289,Nayarit,Municipio_0000289,1481734,2.239
290,Jalisco,Municipio_0000290,686672,2.0027
291,Michoacan,Municipio_0000291,740052,-1.58
292,Coahuila,Municipio_0000292,1303147,0.8781
293,Aguascalientes,Municipio_0000293,1039776,-1.1311
294,Chihuahua,Municipio_0000294,1656494,1.4956
295,Nuevo Leon,Municipio_0000295,657818,-1.5966
296,Coahuila,Municipio_0000296,309583,-1.8336
297,Guerrero,Municipio_0000297,1221738,-0.494
298,Campeche,Municipio_0000298,1690144,0.4855
299,Coahuila,Municipio_0000299,1639506,-1.8673
300,Sonora,Municipio_0000300,1881486,1.0498
301,Campeche,Municipio_0000301,1863873,-1.2925
302,Nayarit,Municipio_0000302,1567995,-0.1949
303,Jalisco,Municipio_0000303,848244,-0.7281
304,Zacatecas,Municipio_0000304,1698756,-2.0814
305,Nuevo Leon,Municipio_0000305,66842,-0.9384
306,Sinaloa,Municipio_0000306,1318904,2.2607
307,Sinaloa,Municipio_0000307,1438405,-0.7395
308,Aguascalientes,Municipio_0000308,1669075,-1.0499
309,Tamaulipas,Municipio_0000309,1446380,1.9376
310,Coahuila,Municipio_0000310,42140,-2.3504
311,Tabasco,Municipio_0000311,1679772,-1.4772
312,Mexico,Municipio_0000312,771630,2.215
313,Morelos,Municipio_0000313,586584,-0.7674
314,Tamaulipas,Municipio_0000314,667828,1.2127
315,Zacatecas,Municipio_0000315,1365356,2.2126
316,Morelos,Municipio_0000316,1837298,2.1152
317,Tabasco,Municipio_0000317,928426,-1.1446
318,Coahuila,Municipio_0000318,831605,1.2779
319,Oaxaca,Municipio_0000319,1547712,0.8562
320,Campeche,Municipio_0000320,442368,0.4392
321,Guanajuato,Municipio_0000321,349950,2.1488
322,Mexico,Municipio_0000322,91957,0.17
323,Chiapas,Municipio_0000323,990829,-0.523
324,Nayarit,Municipio_0000324,776000,-1.564
325,Nayarit,Municipio_0000325,1923676,0.6317
326,Sinaloa,Municipio_0000326,1779410,1.6199
327,Baja California,Municipio_0000327,901541,1.841
328,Coahuila,Municipio_0000328,604393,0.3342
329,Chiapas,Municipio_0000329,549621,-1.7511
330,Sonora,Municipio_0000330,1835317,0.7102
331,Chiapas,Municipio_0000331,1869345,-1.121
332,Queretaro,Municipio_0000332,11690,-2.2913
333,Nuevo Leon,Municipio_0000333,961656,0.9391
334,Queretaro,Municipio_0000334,878134,-1.6645
335,Guanajuato,Municipio_0000335,755020,-0.9366
336,Durango,Municipio_0000336,251330,-0.8856
337,Chiapas,Municipio_0000337,361221,-0.4618
338,Yucatan,Municipio_0000338,1336784,1.7238
339,Veracruz,Municipio_0000339,1627117,0.1313
340,Nayarit,Municipio_0000340,1089403,1.8224
341,Guerrero,Municipio_0000341,877758,0.7895
342,Tamaulipas,Municipio_0000342,1830667,-2.4027
343,Michoacan,Municipio_0000343,1024382,0.179
344,Quintana Roo,Municipio_0000344,886234,-2.2123
345,Coahuila,Municipio_0000345,797494,-2.4993
346,Coahuila,Municipio_0000346,748485,-0.83
347,Hidalgo,Municipio_0000347,366046,2.168
348,Nuevo Leon,Municipio_0000348,876529,-0.077
349,Veracruz,Municipio_0000349,1397655,-1.4163
350,Puebla,Municipio_0000350,313070,-2.337
351,Colima,Municipio_0000351,54994,1.96
352,Nuevo Leon,Municipio_0000352,1033779,-0.556
353,Oaxaca,Municipio_0000353,553627,0.0742
354,Nayarit,Municipio_0000354,1980306,-0.0316
355,Zacatecas,Municipio_0000355,245538,2.2842
356,Durango,Municipio_0000356,1361136,1.1007
357,Colima,Municipio_0000357,1009036,1.3276
358,Queretaro,Municipio_0000358,499230,0.1333
359,Sonora,Municipio_0000359,586874,0.113
360,Hidalgo,Municipio_0000360,1011925,0.8624
361,Yucatan,Municipio_0000361,272280,2.2833
362,Quintana Roo,Municipio_0000362,935020,1.7053
363,Chiapas,Municipio_0000363,1321778,-0.2636
364,Morelos,Municipio_0000364,782565,-1.7775
365,Nuevo Leon,Municipio_0000365,1861216,-1.7325
366,Zacatecas,Municipio_0000366,1685396,1.453
367,Coahuila,Municipio_0000367,26844,-0.1625
368,Nuevo Leon,Municipio_0000368,1119717,0.4853
369,Quintana Roo,Municipio_0000369,1222159,0.7709
370,Hidalgo,Municipio_0000370,1628818,-1.2912
371,Chiapas,Municipio_0000371,1515036,-1.0401
372,Nuevo Leon,Municipio_0000372,1906296,-1.6554
373,Tabasco,Municipio_0000373,677651,1.1601
374,Tamaulipas,Municipio_0000374,718111,1.3901
375,Chiapas,Municipio_0000375,923184,-1.0646
376,Sinaloa,Municipio_0000376,240310,2.3575
377,Morelos,Municipio_0000377,1815638,-1.1835
378,Nuevo Leon,Municipio_0000378,1953501,-1.2038
379,Michoacan,Municipio_0000379,838317,0.6119
380,Morelos,Municipio_0000380,1490308,-2.3163
381,Quintana Roo,Municipio_0000381,1383030,-1.3939
382,Colima,Municipio_0000382,1513339,1.6388
383,Nayarit,Municipio_0000383,221396,2.3084
384,Coahuila,Municipio_0000384,1177183,2.3002
385,Michoacan,Municipio_0000385,715932,0.1785
386,Quintana Roo,Municipio_0000386,479745,0.3796
387,Oaxaca,Municipio_0000387,1499104,-0.0186
388,Tabasco,Municipio_0000388,750886,0.0217
389,Baja California,Municipio_0000389,269129,-1.3483
390,Colima,Municipio_0000390,1148928,0.88
391,Sinaloa,Municipio_0000391,1561220,2.4637
392,Chihuahua,Municipio_0000392,505066,-0.424
393,Chihuahua,Municipio_0000393,268134,0.8212
394,Sinaloa,Municipio_0000394,1191703,1.1013
395,Guerrero,Municipio_0000395,185513,1.5814
396,Aguascalientes,Municipio_0000396,1737125,0.1057
397,Hidalgo,Municipio_0000397,1101618,2.3682
398,Tabasco,Municipio_0000398,553385,-2.2234
399,Tamaulipas,Municipio_0000399,266044,1.4107
400,Tabasco,Municipio_0000400,1002984,0.0014
401,Yucatan,Municipio_0000401,1943015,-0.5514
402,Sonora,Municipio_0000402,717848,0.277
403,San Luis Potosi,Municipio_0000403,73886,0.6919
404,Chihuahua,Municipio_0000404,1491896,1.2279
405,Tabasco,Municipio_0000405,335168,2.0766
406,San Luis Potosi,Municipio_0000406,287665,0.1688
407,Aguascalientes,Municipio_0000407,1439362,2.3986
408,Aguascalientes,Municipio_0000408,1396674,1.1769
409,Tlaxcala,Municipio_0000409,1963842,-1.8476
410,Nayarit,Municipio_0000410,1278337,1.8056
411,Nayarit,Municipio_0000411,1954276,-1.6508
412,Tlaxcala,Municipio_0000412,1650477,0.4953
413,Colima,Municipio_0000413,1520739,-0.2413
414,Queretaro,Municipio_0000414,27172,-1.8237
415,Michoacan,Municipio_0000415,583252,2.318
416,Michoacan,Municipio_0000416,323672,0.8868
417,Tamaulipas,Municipio_0000417,824749,-1.4824
418,Guerrero,Municipio_0000418,1040599,2.0892
419,Tlaxcala,Municipio_0000419,987360,0.6186
420,San Luis Potosi,Municipio_0000420,1812520,-0.9367
421,Tlaxcala,Municipio_0000421,14311,-1.1765
422,Chiapas,Municipio_0000422,1391444,1.3917
423,Guanajuato,Municipio_0000423,509437,-2.1885
424,Coahuila,Municipio_0000424,1655938,-1.0169
425,Mexico,Municipio_0000425,1802572,1.4911
426,Puebla,Municipio_0000426,660157,-1.0316
427,Sinaloa,Municipio_0000427,76489,-2.1556
428,Jalisco,Municipio_0000428,1316287,0.0221
429,Colima,Municipio_0000429,352294,-1.3875
430,Michoacan,Municipio_0000430,1410989,0.4857
431,Morelos,Municipio_0000431,1653654,1.9794
432,Tamaulipas,Municipio_0000432,774809,-2.427
433,Quintana Roo,Municipio_0000433,632109,-1.4957
434,Coahuila,Municipio_0000434,347754,0.2098
435,Sonora,Municipio_0000435,103792,-1.9728
436,Durango,Municipio_0000436,1125803,-0.9484
437,Tabasco,Municipio_0000437,642603,-0.4662
438,Sonora,Municipio_0000438,1919360,-2.4954
439,Guerrero,Municipio_0000439,582012,-2.0444
440,Nayarit,Municipio_0000440,4693,-0.3215
441,Guerrero,Municipio_0000441,1926244,1.2988
442,Yucatan,Municipio_0000442,523731,-1.9012
443,Sonora,Municipio_0000443,895688,1.3781
444,Queretaro,Municipio_0000444,724706,0.3824
445,Oaxaca,Municipio_0000445,718057,2.4235
446,Tabasco,Municipio_0000446,388118,1.1162
447,Guanajuato,Municipio_0000447,309155,1.7417
448,Colima,Municipio_0000448,1589643,-1.5276
449,Oaxaca,Municipio_0000449,570716,-0.5071
450,Quintana Roo,Municipio_0000450,1343851,0.6768
451,Nayarit,Municipio_0000451,766777,2.2124
452,Oaxaca,Municipio_0000452,176248,0.378
453,Tlaxcala,Municipio_0000453,756555,-0.259
454,Nayarit,Municipio_0000454,487260,0.055
455,Baja California,Municipio_0000455,1905651,-2.0237
456,Quintana Roo,Municipio_0000456,133930,0.6039
457,Tamaulipas,Municipio_0000457,244576,-0.9407
458,Nuevo Leon,Municipio_0000458,42118,-0.9547
459,Michoacan,Municipio_0000459,511145,-1.2305
460,Queretaro,Municipio_0000460,1866998,2.2642
461,Durango,Municipio_0000461,1668765,-1.1783
462,San Luis Potosi,Municipio_0000462,1022215,0.1634
463,Michoacan,Municipio_0000463,1943612,-1.6656
464,Hidalgo,Municipio_0000464,359117,-1.5837
465,Tlaxcala,Municipio_0000465,1788195,-2.0763
466,Baja California,Municipio_0000466,622627,1.2782
467,San Luis Potosi,Municipio_0000467,1784210,-0.5653
468,Colima,Municipio_0000468,361068,2.0923
469,Mexico,Municipio_0000469,323842,0.8004
470,Tamaulipas,Municipio_0000470,1625801,2.2175
471,Baja California,Municipio_0000471,981973,2.4248
472,Oaxaca,Municipio_0000472,1698110,0.3415
473,Colima,Municipio_0000473,333172,-0.9654
474,Yucatan,Municipio_0000474,367402,-0.7545
475,Nayarit,Municipio_0000475,1565888,-1.9399
476,Oaxaca,Municipio_0000476,816002,-0.917
477,Hidalgo,Municipio_0000477,704342,0.7589
478,Sinaloa,Municipio_0000478,371712,-1.0861
479,Chihuahua,Municipio_0000479,233301,-2.0947
480,Nuevo Leon,Municipio_0000480,1453735,-1.3437
481,Oaxaca,Municipio_0000481,1204707,-1.9834
482,Michoacan,Municipio_0000482,122804,0.1876
483,Sonora,Municipio_0000483,285852,0.6868
484,Guanajuato,Municipio_0000484,1029428,1.0034
485,Colima,Municipio_0000485,1559808,2.3894
486,Queretaro,Municipio_0000486,928727,0.2994
487,Queretaro,Municipio_0000487,1197730,0.6363
488,Sinaloa,Municipio_0000488,787703,0.0191
489,Sinaloa,Municipio_0000489,1506335,-2.4644
490,Guanajuato,Municipio_0000490,1556363,-0.3441
491,Chihuahua,Municipio_0000491,279486,-2.3131
492,Durango,Municipio_0000492,1954762,-0.1004
493,Baja California,Municipio_0000493,637318,2.0456
494,Hidalgo,Municipio_0000494,249360,-1.3542
495,Tlaxcala,Municipio_0000495,968661,0.8704
496,Veracruz,Municipio_0000496,1273654,-0.2061
497,Guerrero,Municipio_0000497,381172,0.975
498,Michoacan,Municipio_0000498,476486,-0.6006
499,Tabasco,Municipio_0000499,247373,-0.582
500,Nayarit,Municipio_0000500,232623,-0.8346
501,Tlaxcala,Municipio_0000501,1705303,0.307
502,San Luis Potosi,Municipio_0000502,1671231,-1.1839
503,Morelos,Municipio_0000503,1778628,0.7909
504,Tlaxcala,Municipio_0000504,1886672,-1.915
505,Colima,Municipio_0000505,1752698,2.349
506,Sinaloa,Municipio_0000506,1831630,-1.1474
507,Sonora,Municipio_0000507,471581,0.8631
508,Oaxaca,Municipio_0000508,212090,-0.2372
509,Chiapas,Municipio_0000509,1365944,1.5984
510,Oaxaca,Municipio_0000510,612260,-1.6786
511,Sinaloa,Municipio_0000511,684405,1.0129
512,Tamaulipas,Municipio_0000512,442919,-1.5629
513,Chiapas,Municipio_0000513,1860625,0.377
514,San Luis Potosi,Municipio_0000514,1342939,-0.7983
515,Aguascalientes,Municipio_0000515,938535,-1.4867
516,Nayarit,Municipio_0000516,1368914,-1.8024
517,Colima,Municipio_0000517,948684,-0.596
518,Colima,Municipio_0000518,542371,-0.624
519,Veracruz,Municipio_0000519,236504,2.0549
520,Guerrero,Municipio_0000520,1238861,1.0472
521,Guanajuato,Municipio_0000521,1766147,2.4161
522,Tabasco,Municipio_0000522,277742,0.4708
523,Jalisco,Municipio_0000523,1152734,-2.2239
524,Jalisco,Municipio_0000524,804905,0.824
525,Colima,Municipio_0000525,1701118,0.2193
526,Morelos,Municipio_0000526,1517674,2.0473
527,Oaxaca,Municipio_0000527,790770,0.0358
528,Tabasco,Municipio_0000528,241477,1.7396
529,Aguascalientes,Municipio_0000529,449497,-1.5675
530,Michoacan,Municipio_0000530,444585,1.6262
